482010617,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],Automated Gas Chromatograph,,,,,URS Corp,50,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43000,1,Sum of PAMS Target Compounds,AIR,Active,,,,,,
,43102,1,Total NMOC,AIR,Active,,,,,,
,43202,1,Ethane,AIR,Active,,,,,,
,43203,1,Ethylene,AIR,Active,,,,,,
,43204,1,Propane,AIR,Active,,,,,,
,43205,1,Propylene,AIR,Active,,,,,,
,43206,1,Acetylene,AIR,Active,,,,,,
,43212,1,n-Butane,AIR,Active,,,,,,
,43214,1,Isobutane,AIR,Active,,,,,,
,43216,1,trans-2-Butene,AIR,Active,,,,,,
,43217,1,cis-2-Butene,AIR,Active,,,,,,
,43218,1,"1,3-Butadiene",AIR,Active,,,,,,
,43220,1,n-Pentane,AIR,Active,,,,,,
,43221,1,Isopentane,AIR,Active,,,,,,
,43224,1,1-Pentene,AIR,Active,,,,,,
,43226,1,trans-2-Pentene,AIR,Active,,,,,,
,43227,1,cis-2-Pentene,AIR,Active,,,,,,
,43228,1,2-Methyl-2-Butene,AIR,Active,,,,,,
,43231,1,n-Hexane,AIR,Active,,,,,,
,43232,1,n-Heptane,AIR,Active,,,,,,
,43233,1,n-Octane,AIR,Active,,,,,,
,43235,1,n-Nonane,AIR,Active,,,,,,
,43238,1,n-Decane,AIR,Active,,,,,,
,43242,1,Cyclopentane,AIR,Active,,,,,,
,43243,1,Isoprene,AIR,Active,,,,,,
,43244,1,"2,2-Dimethylbutane",AIR,Active,,,,,,
,43247,1,"2,4-Dimethylpentane",AIR,Active,,,,,,
,43248,1,Cyclohexane,AIR,Active,,,,,,
,43249,1,3-Methylhexane,AIR,Active,,,,,,
,43250,1,"2,2,4-Trimethylpentane",AIR,Active,,,,,,
,43252,1,"2,3,4-Trimethylpentane",AIR,Active,,,,,,
,43253,1,3-Methylheptane,AIR,Active,,,,,,
,43261,1,Methylcyclohexane,AIR,Active,,,,,,
,43262,1,Methylcyclopentane,AIR,Active,,,,,,
,43263,1,2-Methylhexane,AIR,Active,,,,,,
,43280,1,1-Butene,AIR,Active,,,,,,
,43291,1,"2,3-Dimethylpentane",AIR,Active,,,,,,
,43954,1,n-Undecane,AIR,Active,,,,,,
,43960,1,2-Methylheptane,AIR,Active,,,,,,
,45109,1,m/p Xylene,AIR,Active,,,,,,
,45201,1,Benzene,AIR,Active,,,,,,
,45202,1,Toluene,AIR,Active,,,,,,
,45203,1,Ethylbenzene,AIR,Active,,,,,,
,45204,1,o-Xylene,AIR,Active,,,,,,
,45207,1,"1,3,5-Trimethylbenzene",AIR,Active,,,,,,
,45208,1,"1,2,4-Trimethylbenzene",AIR,Active,,,,,,
,45209,1,n-Propylbenzene,AIR,Active,,,,,,
,45210,1,Isopropylbenzene,AIR,Active,,,,,,
,45220,1,Styrene,AIR,Active,,,,,,
,45225,1,"1,2,3-Trimethylbenzene",AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],NOX,,,,,URS Corp,3,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,42601,1,Nitric Oxide (NO),AIR,Active,,,,,,
,42602,1,Nitrogen Dioxide (NO2),AIR,Active,,,,,,
,42603,1,Oxides Of Nitrogen (NOX),AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],O3,,,,,URS Corp,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,44201,1,Ozone,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Temperature (Outdoor),,,,,URS Corp,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62101,1,Outdoor Temperature,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Wind,,,,,URS Corp,5,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,61101,1,Wind Speed - Scalar,AIR,Active,,,,,,
,61103,1,Wind Speed - Resultant,AIR,Active,,,,,,
,61104,1,Wind Direction - Resultant,AIR,Active,,,,,,
,61105,1,Peak Wind Gust,AIR,Active,,,,,,
,61106,1,Std Dev Hz Wind Direction,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Solar Radiation,,,,,,2,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,63301,1,Solar Radiation,AIR,Inactive,,,,,,
,63305,1,Net Radiation,AIR,Inactive,,,,,,
