482010061,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
,43801,1,Chloromethane,AIR,Active,,,,,,
,43802,1,Dichloromethane,AIR,Active,,,,,,
,43803,1,Chloroform,AIR,Active,,,,,,
,43804,1,Carbon Tetrachloride,AIR,Active,,,,,,
,43811,1,Trichlorofluoromethane,AIR,Active,,,,,,
,43813,1,"1,1-Dichloroethane",AIR,Active,,,,,,
,43814,1,Methyl Chloroform,AIR,Active,,,,,,
,43815,1,Ethylene Dichloride,AIR,Active,,,,,,
,43817,1,Tetrachloroethylene,AIR,Active,,,,,,
,43818,1,"1,1,2,2-Tetrachloroethane",AIR,Active,,,,,,
,43819,1,Bromomethane,AIR,Active,,,,,,
,43820,1,"1,1,2-Trichloroethane",AIR,Active,,,,,,
,43823,1,Dichlorodifluoromethane,AIR,Active,,,,,,
,43824,1,Trichloroethylene,AIR,Active,,,,,,
,43826,1,"1,1-Dichloroethylene",AIR,Active,,,,,,
,43829,1,"1,2-Dichloropropane",AIR,Active,,,,,,
,43830,1,"trans-1,3-Dichloropropene",AIR,Active,,,,,,
,43831,1,"cis-1,3-Dichloropropene",AIR,Active,,,,,,
,43843,1,Ethylene Dibromide,AIR,Active,,,,,,
,43860,1,Vinyl Chloride,AIR,Active,,,,,,
,43954,1,n-Undecane,AIR,Active,,,,,,
,43960,1,2-Methylheptane,AIR,Active,,,,,,
,45109,1,m/p Xylene,AIR,Active,,,,,,
,45201,1,Benzene,AIR,Active,,,,,,
,45202,1,Toluene,AIR,Active,,,,,,
,45203,1,Ethylbenzene,AIR,Active,,,,,,
,45204,1,o-Xylene,AIR,Active,,,,,,
,45207,1,"1,3,5-Trimethylbenzene",AIR,Active,,,,,,
,45208,1,"1,2,4-Trimethylbenzene",AIR,Active,,,,,,
,45209,1,n-Propylbenzene,AIR,Active,,,,,,
,45210,1,Isopropylbenzene,AIR,Active,,,,,,
,45211,1,o-Ethyltoluene,AIR,Active,,,,,,
,45212,1,m-Ethyltoluene,AIR,Active,,,,,,
,45213,1,p-Ethyltoluene,AIR,Active,,,,,,
,45218,1,m-Diethylbenzene,AIR,Active,,,,,,
,45219,1,p-Diethylbenzene,AIR,Active,,,,,,
,45220,1,Styrene,AIR,Active,,,,,,
,45225,1,"1,2,3-Trimethylbenzene",AIR,Active,,,,,,
,45801,1,Chlorobenzene,AIR,Active,,,,,,
,16521,1,Methyl Isoamyl Ketone,AIR,Inactive,,,,,,
,43209,1,Ethyl Acetate,AIR,Inactive,,,,,,
,43246,1,2-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43372,1,Methyl Tert-Butyl Ether,AIR,Inactive,,,,,,
,43434,1,n-Propyl Acetate,AIR,Inactive,,,,,,
,43510,1,Butyraldehyde,AIR,Inactive,,,,,,
,43512,1,Isobutyraldehyde,AIR,Inactive,,,,,,
,43514,1,Butyl Acetate,AIR,Inactive,,,,,,
,43552,1,Methyl Ethyl Ketone,AIR,Inactive,,,,,,
,43553,1,3-Pentanone,AIR,Inactive,,,,,,
,43557,1,3-Hexanone,AIR,Inactive,,,,,,
,43559,1,Methyl Butyl Ketone,AIR,Inactive,,,,,,
,43560,1,Methyl Isobutyl Ketone,AIR,Inactive,,,,,,
,43563,1,3-Heptanone,AIR,Inactive,,,,,,
,43564,1,2-Methyl-3-Hexanone,AIR,Inactive,,,,,,
,43835,1,Chloroprene,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Temperature (Outdoor),,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62101,1,Outdoor Temperature,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Wind,,,,,TCEQ,5,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,61101,1,Wind Speed - Scalar,AIR,Active,,,,,,
,61103,1,Wind Speed - Resultant,AIR,Active,,,,,,
,61104,1,Wind Direction - Resultant,AIR,Active,,,,,,
,61105,1,Peak Wind Gust,AIR,Active,,,,,,
,61106,1,Std Dev Hz Wind Direction,AIR,Active,,,,,,
